dropout AUC AUPR ACC P R F1
0.0 0.9376989026063101 0.9352780727546789 0.8574074074074074 0.897119341563786 0.8074074074074075 0.8499025341130605
0.05 0.9371467764060357 0.9363502874063906 0.825 0.9290953545232273 0.7037037037037037 0.8008429926238144
0.1 0.9462208504801097 0.9484728157150999 0.8722222222222222 0.8941176470588236 0.8444444444444444 0.8685714285714287
0.15 0.9400102880658435 0.9344426404033027 0.8490740740740741 0.9106753812636166 0.774074074074074 0.8368368368368367
0.2 0.952253086419753 0.9505121756960291 0.8796296296296297 0.8824626865671642 0.8759259259259259 0.8791821561338289
0.25 0.9381412894375857 0.9360738506821915 0.8481481481481481 0.8481481481481481 0.8481481481481481 0.8481481481481481
0.3 0.9440946502057613 0.9449118058639078 0.8703703703703703 0.8846153846153846 0.8518518518518519 0.8679245283018868
0.35 0.9442935528120712 0.9438479058909384 0.8666666666666667 0.8807692307692307 0.8481481481481481 0.8641509433962264
0.4 0.9407407407407408 0.9402917649545172 0.8564814814814815 0.8985507246376812 0.8037037037037037 0.8484848484848485
0.45 0.9433024691358024 0.936967261898405 0.8453703703703703 0.9172259507829977 0.7592592592592593 0.8308004052684904
0.5 0.9336213991769546 0.9324103116483732 0.8453703703703703 0.879837067209776 0.8 0.8380213385063047
