,lncRNA,disease,pred,label,evidence,
1387,MIR22HG,DOID:3068,0.966965675,0,1,
1960,NEAT1,DOID:3068,0.957388759,0,1,
18635,GAS5,DOID:3068,0.94694196,0,1,
2969,UCA1,DOID:3068,0.933909357,0,1,
17302,SNHG12,DOID:3068,0.859257233,0,1,
5693,MIF-AS1,DOID:3068,0.857100964,0,0,MNDR????????
32773,SAMMSON,DOID:3068,0.84124794,0,1,
32930,PCAT1,DOID:3068,0.839055562,0,1,
21811,MALAT1,DOID:3068,0.810462129,0,1,
8685,MIR4435-2HG,DOID:3068,0.791618466,0,1,
9060,HULC,DOID:3068,0.783093274,0,0,
9508,BLACAT1,DOID:3068,0.773011863,0,0,MNDR????????
9537,NBR2,DOID:3068,0.772505224,0,0,
1136,HAR1A,DOID:3068,0.77056514,0,0,MNDR????????
10047,PWAR5,DOID:3068,0.761976719,0,1,
10214,MIR181A1HG,DOID:3068,0.75786823,0,0,
11216,HELLPAR,DOID:3068,0.737309277,0,0,
11436,DSCR10,DOID:3068,0.733347774,0,0,
12092,NUP50-AS1,DOID:3068,0.721309125,0,0,
12099,HAS2-AS1,DOID:3068,0.721152961,0,1,
12235,MCHR2-AS1,DOID:3068,0.719031096,0,0,
12966,LINC00163,DOID:3068,0.708584309,0,0,
13148,MIR7-3HG,DOID:3068,0.705675066,0,0,
14399,KCTD21-AS1,DOID:3068,0.689210534,0,0,
14775,LINC00675,DOID:3068,0.684901953,0,0,
14802,COL18A1-AS1,DOID:3068,0.684541166,0,0,
14881,LINC00273,DOID:3068,0.683603585,0,0,
14968,LINC01387,DOID:3068,0.682832301,0,0,
15639,B3GALT5-AS1,DOID:3068,0.67606467,0,0,
15820,HCG27,DOID:3068,0.673976779,0,0,
15883,C1QTNF9B-AS1,DOID:3068,0.673326135,0,0,
16657,MIR99AHG,DOID:3068,0.6657269,0,0,
16781,LINC01588,DOID:3068,0.664440215,0,0,
5713,MIR124-2HG,DOID:3068,0.656582642,0,0,
18110,FENDRR,DOID:3068,0.651886582,0,0,
18673,IL12A-AS1,DOID:3068,0.646604002,0,0,
6125,HNF1A-AS1,DOID:3068,0.645790684,0,0,
6261,CASC16,DOID:3068,0.642602313,0,0,
20408,PSMB8-AS1,DOID:3068,0.628036797,0,1,
21056,PTCSC2,DOID:3068,0.62055105,0,1,
21245,LINC01628,DOID:3068,0.618276119,0,0,
21378,ERICH1-AS1,DOID:3068,0.616830885,0,0,
21705,XACT,DOID:3068,0.61193496,0,0,
22044,CADM3-AS1,DOID:3068,0.607626557,0,0,
22219,GABPB1-AS1,DOID:3068,0.605411649,0,0,
22259,CCAT2,DOID:3068,0.604834676,0,0,
23499,MESTIT1,DOID:3068,0.586730897,0,0,
23863,PEG3-AS1,DOID:3068,0.581938267,0,0,
24125,LINC00261,DOID:3068,0.577844322,0,0,
25198,NORAD,DOID:3068,0.560654223,0,0,
25879,PWRN1,DOID:3068,0.549381971,0,0,
26414,MIAT,DOID:3068,0.540088773,0,1,
27342,MIR194-2HG,DOID:3068,0.525227904,0,0,
27446,CYTOR,DOID:3068,0.523506284,0,1,
28151,CAHM,DOID:3068,0.5114308,0,0,
28226,FALEC,DOID:3068,0.509953082,0,0,
9316,LINC00315,DOID:3068,0.477420938,0,0,
30298,HYMAI,DOID:3068,0.476725996,0,0,
30567,FAM30A,DOID:3068,0.47258082,0,0,
30726,NPSR1-AS1,DOID:3068,0.470283568,0,0,
31041,MIR17HG,DOID:3068,0.465915799,0,1,
31327,GATA3-AS1,DOID:3068,0.461551249,0,0,
31387,CDKN2A-AS1,DOID:3068,0.460655063,0,0,
31470,LINC00856,DOID:3068,0.459506631,0,0,
31617,AFAP1-AS1,DOID:3068,0.457269847,0,0,
32431,NFIA-AS1,DOID:3068,0.445933282,0,0,
32489,OLMALINC,DOID:3068,0.445114434,0,0,
32977,NPTN-IT1,DOID:3068,0.438234597,0,0,
33111,MIR155HG,DOID:3068,0.436371297,0,1,
33746,LINC01080,DOID:3068,0.428389221,0,0,
34266,GACAT2,DOID:3068,0.421511501,0,0,
34844,FBXW7-AS1,DOID:3068,0.41373688,0,0,
35108,HLA-F-AS1,DOID:3068,0.410217077,0,0,
35307,C5orf66-AS2,DOID:3068,0.407473415,0,0,
36202,NCAM1-AS1,DOID:3068,0.394920111,0,0,
36528,LSINCT5,DOID:3068,0.390477449,0,0,
37334,TARID,DOID:3068,0.379259318,0,0,
37380,CRNDE,DOID:3068,0.378776878,0,0,
38262,TTTY4,DOID:3068,0.365046263,0,0,
38736,LINC01081,DOID:3068,0.357730359,0,0,
41075,TTTY15,DOID:3068,0.319454581,0,0,
41253,LINC00961,DOID:3068,0.316709965,0,0,
41505,DANCR,DOID:3068,0.313207954,0,1,
41792,GNG12-AS1,DOID:3068,0.30922845,0,0,
42090,LINC00663,DOID:3068,0.305206388,0,1,
