lncRNA,disease,pred,label,evidence
HOTAIR,DOID:14566,0.988646448,1,0
HOTAIR,DOID:162,0.988632262,1,1
HAR1A,DOID:150,0.988616884,1,0
TP53COR1,DOID:1287,0.988611281,1,0
LINC-ROR,DOID:4,0.988602638,1,0
CDKN2B-AS1,DOID:229,0.988597095,1,0
BCYRN1,DOID:4362,0.988588095,1,1
ATXN8OS,DOID:934,0.988575637,1,0
LINC00473,DOID:162,0.988573909,1,0
EGOT,DOID:5093,0.988573909,1,0
TINCR,DOID:10534,0.98857379,1,1
PRNCR1,DOID:10155,0.988559663,1,0
PVT1,DOID:9744,0.988559544,1,1
LINC00675,DOID:305,0.98855406,1,0
KIRREL3-AS3,DOID:0050615,0.988545835,1,0
CDKN2B-AS1,DOID:0050686,0.988540232,1,0
CRNDE,DOID:162,0.988539875,1,0
PVT1,DOID:0050686,0.988516808,1,0
ESRG,DOID:0050686,0.988510847,1,0
MALAT1,DOID:2621,0.988502622,1,0
NCAM1-AS1,DOID:4,0.988502502,1,0
MALAT1,DOID:4451,0.988482654,1,0
TUSC7,DOID:9256,0.988480926,1,1
CASC2,DOID:162,0.988475323,1,1
UCA1,DOID:14566,0.988474667,1,0
HNF1A-AS1,DOID:1324,0.988460302,1,0
PCA3,DOID:4045,0.988451838,1,0
NALT1,DOID:1492,0.988437474,1,0
TUG1,DOID:10155,0.988437355,1,0
GAS5,DOID:77,0.988417447,1,0
UCA1,DOID:0050686,0.988402665,1,0
EGOT,DOID:193,0.9883371,1,0
LSINCT5,DOID:0050686,0.988249779,1,0
XIST,DOID:686,0.988235235,1,0
TUG1,DOID:0050686,0.988176525,1,0
CASC16,DOID:162,0.988109648,1,0
HCP5,DOID:1787,0.988001406,1,0
MIR17HG,DOID:162,0.987986386,1,1
H19,DOID:154,0.987926483,1,0
HOTAIR,DOID:3119,0.987865031,1,1
HOTAIR,DOID:1542,0.987858176,1,0
ZEB1-AS1,DOID:0050687,0.9878335,1,0
HLA-F-AS1,DOID:4,0.987827539,1,0
MALAT1,DOID:14566,0.98780638,1,0
PVT1,DOID:3119,0.987802684,1,0
HAND2-AS1,DOID:3093,0.9877913,1,0
GAS5,DOID:15,0.987787545,1,0
H19,DOID:655,0.987787426,1,0
CCAT2,DOID:4362,0.987766504,1,1
TUSC8,DOID:0050686,0.987730443,1,0
MALAT1,DOID:170,0.987681627,1,0
MEG3,DOID:0050771,0.987667739,1,1
HOTTIP,DOID:686,0.987660885,1,0
H19,DOID:0050885,0.987657905,1,0
XIST,DOID:5672,0.987654269,1,0
GNAS-AS1,DOID:0014667,0.987652421,1,0
HOTTIP,DOID:162,0.987642527,1,1
LINC-PINT,DOID:1909,0.987638831,1,1
LINC01080,DOID:10652,0.98759079,1,1
HOTTIP,DOID:0050686,0.987580895,1,0
TP53COR1,DOID:2531,0.9875772,1,0
SPRY4-IT1,DOID:14566,0.987520695,1,0
CCAT1,DOID:219,0.987510562,1,1
WT1-AS,DOID:0050687,0.987506986,1,0
ATXN8OS,DOID:8771,0.98744154,1,0
LINC00629,DOID:14566,0.987437427,1,0
LINC00961,DOID:14566,0.98742187,1,0
NEAT1,DOID:0050686,0.987359107,1,0
NEAT1,DOID:4,0.987287641,1,0
DAOA-AS1,DOID:5419,0.987217367,1,1
BCYRN1,DOID:14566,0.987208664,1,0
PCGEM1,DOID:10283,0.98719877,1,1
SPRY4-IT1,DOID:1107,0.98719275,1,0
SNHG1,DOID:4,0.987189949,1,0
UCA1,DOID:0060083,0.987184107,1,0
MIR7-3HG,DOID:4,0.987182856,1,0
MIR194-2HG,DOID:686,0.987177849,1,0
LINC01133,DOID:3905,0.98717612,1,0
BANCR,DOID:162,0.987174034,1,0
PVT1,DOID:7,0.987151742,1,0
PTCSC3,DOID:0050686,0.987135828,1,0
AFAP1-AS1,DOID:4905,0.987135708,1,0
GHET1,DOID:5517,0.987128973,1,0
MIR124-2HG,DOID:0050615,0.987118959,1,0
MIR17HG,DOID:7,0.987113476,1,0
TDRG1,DOID:4,0.987110138,1,0
BCYRN1,DOID:4,0.987056136,1,0
CDKN2B-AS1,DOID:1686,0.987046123,1,1
SPRY4-IT1,DOID:1612,0.987037301,1,1
PWAR5,DOID:48,0.987024188,0,0
H19,DOID:0080053,0.986978054,1,0
MIR17HG,DOID:3118,0.986967981,1,0
IGF2-AS,DOID:162,0.986961961,1,0
HOTAIR,DOID:7,0.986950338,1,0
MEG3,DOID:305,0.986934185,1,0
DISC2,DOID:0060040,0.986897051,1,0
H19,DOID:10763,0.986869037,1,0
IGF2-AS,DOID:4,0.986822963,1,0
MALAT1,DOID:10283,0.986819923,1,1
MIR17HG,DOID:1793,0.986809373,1,0
H19,DOID:178,0.986805439,1,0
MEG3,DOID:4451,0.98679477,1,0
CDKN2B-AS1,DOID:2154,0.986771405,1,0
AFAP1-AS1,DOID:162,0.986574829,1,1
TP73-AS1,DOID:0060083,0.986573994,1,0
CDKN2B-AS1,DOID:1240,0.98654002,1,1
CDKN2B-AS1,DOID:0050687,0.986533403,1,0
MEG3,DOID:0014667,0.986506045,1,0
LINC01387,DOID:9993,0.986492097,0,0
NEAT1,DOID:0060318,0.986489177,1,1
NEAT1,DOID:5093,0.986489117,1,0
NEAT1,DOID:3119,0.986480057,1,0
BCYRN1,DOID:769,0.986471236,1,0
MIR17HG,DOID:0050687,0.986465871,1,0
GAS5,DOID:684,0.986458719,1,1
H19,DOID:4159,0.98644489,1,0
CDKN2B-AS1,DOID:684,0.986438274,1,1
LINC00675,DOID:0050686,0.986436069,1,0
GHET1,DOID:3996,0.986429453,1,0
GAS5,DOID:686,0.986423433,1,0
CCAT1,DOID:0050686,0.986416817,1,0
PVT1,DOID:684,0.986410677,1,1
PVT1,DOID:3571,0.986401856,1,0
H19,DOID:2018,0.986393869,1,1
UCA1,DOID:0050866,0.98639375,1,1
PVT1,DOID:686,0.98638922,1,0
PICSAR,DOID:688,0.986384928,1,0
MALAT1,DOID:299,0.986384928,1,0
LINC00511,DOID:4,0.986372292,1,0
MALAT1,DOID:0050615,0.986372173,1,0
PVT1,DOID:18,0.986372173,1,0
MIR17HG,DOID:684,0.986370325,1,0
MIR17HG,DOID:3571,0.986361504,1,0
MALAT1,DOID:0060083,0.986348748,1,0
BCYRN1,DOID:3119,0.986329734,1,0
MEG3,DOID:5183,0.986319065,1,0
BANCR,DOID:3119,0.986309767,1,1
UCA1,DOID:684,0.986275911,1,1
HNF1A-AS1,DOID:3908,0.986272991,1,1
XIST,DOID:3996,0.986266971,1,0
DLEU2,DOID:0060058,0.986254215,1,1
SPRY4-IT1,DOID:3748,0.986194193,1,1
HCP5,DOID:162,0.986177146,1,0
PCA3,DOID:1319,0.986117184,0,0
TUG1,DOID:0060100,0.986108243,1,0
MIR137HG,DOID:5041,0.986106873,0,0
DSCR9,DOID:0060116,0.986106038,0,0
MESTIT1,DOID:9036,0.986101985,0,0
IGF2-AS,DOID:3119,0.986083567,1,0
IFNG-AS1,DOID:863,0.986053884,1,0
H19,DOID:2876,0.986029804,1,1
LINC00271,DOID:4,0.986008823,1,0
H19,DOID:3908,0.985999763,1,1
MEG3,DOID:8618,0.98598665,1,0
HULC,DOID:0050745,0.985871732,1,1
NEAT1,DOID:7,0.985858381,1,0
XIST,DOID:1612,0.985854208,1,1
CCAT1,DOID:0050687,0.985813797,1,0
CDKN2B-AS1,DOID:7,0.985783815,1,0
CCAT1,DOID:684,0.985713601,1,1
GAS5,DOID:934,0.985704303,1,0
HNF1A-AS1,DOID:4,0.985703528,1,0
PCA3,DOID:193,0.985694349,1,0
BANCR,DOID:5672,0.985691011,1,0
WT1-AS,DOID:162,0.985676646,1,0
MIR17HG,DOID:557,0.985605299,1,0
H19,DOID:654,0.985601127,1,0
LINC00602,DOID:305,0.985590041,1,0
HOTAIRM1,DOID:0060083,0.985583782,1,0
PISRT1,DOID:0080005,0.985580206,0,0
PCGEM1,DOID:3856,0.985523999,1,0
ESRG,DOID:1287,0.985482097,1,0
MALAT1,DOID:201,0.98547262,1,0
MIR124-2HG,DOID:5093,0.985459208,1,0
CCAT2,DOID:0050687,0.985420167,1,0
KCNQ1OT1,DOID:0080014,0.985408485,1,0
CDKN2B-AS1,DOID:10652,0.985404313,1,1
MALAT1,DOID:9261,0.985342145,1,1
LINC00312,DOID:305,0.985317409,1,0
PARD6G-AS1,DOID:104,0.985310912,0,0
MEG3,DOID:0050865,0.985307813,1,1
KCNQ1OT1,DOID:630,0.985305607,1,0
HULC,DOID:684,0.985301316,1,1
HOTTIP,DOID:3571,0.985296071,1,0
PISRT1,DOID:1492,0.985294104,1,0
LINCMD1,DOID:17,0.985291839,1,0
NBAT1,DOID:5093,0.985282302,1,0
HOTAIR,DOID:5093,0.985279083,1,0
CDKN2B-AS1,DOID:3908,0.98527807,1,0
PVT1,DOID:7474,0.985267043,1,1
HCP5,DOID:3119,0.985246539,1,0
MEG3,DOID:686,0.985240757,1,0
KCNQ1OT1,DOID:14566,0.985234201,1,0
RMST,DOID:0050686,0.985233605,1,0
LINCMD1,DOID:15,0.985231757,1,0
BCYRN1,DOID:0050615,0.985228777,1,0
CDKN2B-AS1,DOID:193,0.985221565,1,0
MEG3,DOID:5520,0.985215902,1,1
MALAT1,DOID:120,0.985203505,1,0
PVT1,DOID:2621,0.985193312,1,0
MIR503HG,DOID:3594,0.985191464,1,1
UCA1,DOID:4,0.98518616,1,0
PCGEM1,DOID:0050686,0.985185266,1,0
MALAT1,DOID:3498,0.985185146,1,1
MALAT1,DOID:5093,0.985173225,1,0
MEG3,DOID:193,0.985173106,1,0
RMST,DOID:4230,0.985159695,0,0
PVT1,DOID:1612,0.985156059,1,1
NEAT1,DOID:0050687,0.985148668,1,0
CARMN,DOID:1542,0.985147655,0,0
KCNQ1OT1,DOID:0050686,0.985142291,1,0
PRINS,DOID:14566,0.985137701,1,0
MIR155HG,DOID:706,0.985137582,1,0
HCG9,DOID:3527,0.985112011,0,0
KCNQ1OT1,DOID:4,0.985058427,1,0
UCA1,DOID:5093,0.985057056,1,0
TP53COR1,DOID:1037,0.985044777,1,0
MEG3,DOID:170,0.985043883,1,0
LINC00473,DOID:14566,0.985034168,1,0
EGOT,DOID:4,0.98502028,1,0
CTBP1-AS,DOID:0050686,0.985009074,1,0
CCDC26,DOID:8692,0.984902322,1,0
CADM3-AS1,DOID:1240,0.984878719,0,0
DANCR,DOID:0080005,0.984867036,1,0
BANCR,DOID:0050687,0.984856725,1,0
CBR3-AS1,DOID:47,0.984781146,1,1
JAZF1-AS1,DOID:1441,0.984772146,0,0
CDR1-AS,DOID:13378,0.984766603,0,0
LINC01628,DOID:0050615,0.984762311,1,0
APTR,DOID:9253,0.984762192,0,0
PCAT5,DOID:14566,0.984760344,1,0
MIR99AHG,DOID:2531,0.984754205,1,0
AFAP1-AS1,DOID:3571,0.98475039,1,0
MIR124-2HG,DOID:75,0.984749913,0,0
LINC00477,DOID:2151,0.984748065,0,0
MALAT1,DOID:0050829,0.984740078,0,0
H19,DOID:15,0.984736264,1,0
FAM30A,DOID:305,0.984725893,0,0
PTCSC2,DOID:9036,0.984717667,0,0
HOTAIR,DOID:8692,0.984712958,1,0
NEAT1,DOID:0050615,0.984686553,1,0
HOTAIR,DOID:3910,0.984606922,1,1
CDKN2B-AS1,DOID:3748,0.984600127,1,1
HOTAIR,DOID:184,0.984574139,1,0
IGF2-AS,DOID:684,0.984498441,1,1
IGF2-AS,DOID:3571,0.984488249,1,1
IGF2-AS,DOID:686,0.984473944,1,0
AFAP1-AS1,DOID:3007,0.98446542,1,0
ESRG,DOID:1319,0.984461248,1,0
SPRY4-IT1,DOID:3571,0.984455347,1,0
CCAT1,DOID:3571,0.984445632,1,0
MALAT1,DOID:0014667,0.984440923,1,0
HOTAIR,DOID:0060072,0.984440684,1,0
ZFAS1,DOID:162,0.984432936,1,1
CDR1-AS,DOID:5166,0.984400332,0,0
CCAT1,DOID:1612,0.984395623,1,1
ADORA2A-AS1,DOID:3748,0.984392762,0,0
GACAT2,DOID:7148,0.984361053,0,0
DBH-AS1,DOID:3119,0.984341681,1,0
MIR124-2HG,DOID:0050686,0.984341562,1,0
BLACAT1,DOID:3829,0.98431474,0,0
KCNQ1OT1,DOID:3119,0.984221697,1,0
MIR155HG,DOID:14330,0.984206319,0,0
MALAT1,DOID:0060085,0.984193861,1,0
SNHG1,DOID:1324,0.984180927,1,1
CCAT2,DOID:686,0.984143138,1,0
NUP50-AS1,DOID:3312,0.984098971,0,0
HOTAIR,DOID:363,0.984058559,1,0
SOX2-OT,DOID:162,0.98403877,1,1
CCAT2,DOID:5093,0.984014809,1,0
CTBP1-AS,DOID:193,0.984001994,1,0
MIR7-3HG,DOID:3119,0.984001756,1,0
LMCD1-AS1,DOID:2152,0.983997226,0,0
HCG4,DOID:184,0.983988941,1,0
GAS5,DOID:1380,0.983984172,1,1
HOTAIR,DOID:193,0.98396343,1,0
MALAT1,DOID:3905,0.983959496,1,0
XIST,DOID:684,0.983950615,1,1
MEG8,DOID:687,0.983945906,0,0
LMCD1-AS1,DOID:0080001,0.983899713,0,0
NFIA-AS1,DOID:1319,0.983899593,0,0
MIR99AHG,DOID:4,0.983869016,1,0
DANCR,DOID:11476,0.983809471,1,1
LINC01133,DOID:3907,0.983767509,1,1
GAS5,DOID:2394,0.983759642,1,1
LINC00474,DOID:8712,0.983738184,0,0
H19,DOID:7,0.983726621,1,0
BANCR,DOID:305,0.983717442,1,0
TP53TG1,DOID:4,0.983706594,1,0
MEG3,DOID:0050615,0.983706474,1,0
NEAT1,DOID:193,0.98370415,1,0
HCP5,DOID:0050687,0.983682573,1,0
MIR17HG,DOID:0050615,0.98367846,1,0
H19,DOID:11054,0.983665168,1,1
HOTAIR,DOID:1324,0.983644307,1,1
MCHR2-AS1,DOID:0014667,0.983601868,1,0
LINC00629,DOID:3594,0.983593881,1,1
HCP5,DOID:684,0.983567715,1,0
GAS5,DOID:2237,0.983565748,1,0
HAR1A,DOID:3969,0.983560681,0,0
NEAT1,DOID:1749,0.983560562,1,1
PSORS1C3,DOID:7,0.983556986,1,0
CDKN2B-AS1,DOID:0050739,0.983541787,1,0
PSORS1C3,DOID:16,0.983540237,1,0
LINC00675,DOID:3007,0.983540118,1,0
TUG1,DOID:184,0.983511865,1,0
SOX2-OT,DOID:5041,0.983421981,1,0
PVT1,DOID:9256,0.983409166,1,1
KCNQ1OT1,DOID:14681,0.983408451,1,0
PCA3,DOID:3856,0.983404875,1,0
GAS5,DOID:1883,0.983397961,1,0
SNHG11,DOID:824,0.983397841,0,0
HCCAT5,DOID:154,0.983395696,0,0
ABALON,DOID:1492,0.983384371,0,0
PRNCR1,DOID:193,0.983384252,1,0
KCNQ1OT1,DOID:7,0.983382761,1,0
XIST,DOID:3905,0.983378708,1,0
BANCR,DOID:4,0.983368695,1,0
GNAS-AS1,DOID:4,0.983358085,1,0
H19,DOID:9261,0.98335588,1,1
LINC00293,DOID:686,0.983344615,0,0
XIST,DOID:10976,0.983302414,1,0
LINC01628,DOID:0050155,0.983301818,1,0
H19,DOID:10591,0.983294785,1,1
HOTAIR,DOID:0060085,0.983281553,1,0
KCNQ1OT1,DOID:1287,0.983275473,1,0
TUG1,DOID:0050615,0.983246744,1,0
LINC00299,DOID:13089,0.98323822,0,0
EWSAT1,DOID:2348,0.983230054,0,0
HOTAIR,DOID:2600,0.983207822,1,0
TARID,DOID:2871,0.98319602,0,0
HNF1A-AS1,DOID:684,0.983184874,1,1
DANCR,DOID:3571,0.983181298,1,0
PVT1,DOID:4960,0.983175278,1,0
MEG3,DOID:0060085,0.983175159,1,0
CDKN2B-AS1,DOID:1936,0.983173907,1,1
HULC,DOID:0050687,0.98315835,1,0
JAZF1-AS1,DOID:4607,0.983146369,0,0
LINC00315,DOID:1561,0.983124375,0,0
IGF2-AS,DOID:193,0.983110666,1,0
APTR,DOID:9974,0.983105719,0,0
PVT1,DOID:9538,0.983093381,1,1
PCAT4,DOID:3717,0.983092129,0,0
BCYRN1,DOID:8618,0.983088553,1,0
PSMB8-AS1,DOID:2468,0.983087301,0,0
GAS5,DOID:299,0.983075857,1,0
LINC-ROR,DOID:5520,0.983074725,0,0
NPSR1-AS1,DOID:9351,0.983070195,0,0
ATXN8OS,DOID:7,0.983034253,1,0
MIR7-3HG,DOID:4960,0.983030021,0,0
XIST,DOID:0050686,0.983017206,1,0
SPRY4-IT1,DOID:162,0.982996166,1,1
WT1-AS,DOID:684,0.98297435,1,1
HAR1A,DOID:680,0.982966781,1,0
ZFAS1,DOID:0050686,0.982963324,1,0
CASC15,DOID:769,0.982947528,1,1
TP53COR1,DOID:0050686,0.982911825,1,0
LINC01556,DOID:2994,0.982894361,1,0
MIR17HG,DOID:9538,0.982873976,1,0
GAS5,DOID:9074,0.982815564,1,0
SERTAD4-AS1,DOID:2978,0.982791722,0,0
LSINCT5,DOID:162,0.982751667,1,0
HOTAIR,DOID:2531,0.982744396,1,0
MINCR,DOID:4607,0.982719898,1,0
GAS5,DOID:0060083,0.982706964,1,0
MIR155HG,DOID:4043,0.982700765,0,0
CASC15,DOID:0050686,0.982699752,1,0
KCNQ1OT1,DOID:3948,0.98269856,1,0
CCAT2,DOID:3571,0.982691228,1,0
PVT1,DOID:0060083,0.982663453,1,0
GAS5,DOID:1324,0.982656121,1,1
NBAT1,DOID:4,0.982642055,1,0
XIST,DOID:863,0.982641935,1,0
H19,DOID:5041,0.982634723,1,1
MEG3,DOID:2531,0.982634604,1,0
LINC00474,DOID:7,0.982617915,1,0
MIR17HG,DOID:0060083,0.982612252,1,0
MEG3,DOID:9352,0.98260653,1,0
LINC00602,DOID:14566,0.982604861,1,0
LINC01133,DOID:1324,0.982584953,1,0
DANCR,DOID:193,0.982551038,1,0
NRON,DOID:4535,0.982530296,0,0
KCTD21-AS1,DOID:4,0.982498646,1,0
